id,Gender,Age group,Concern_Type,Student_Concern,Solution,Department,Sub_Section
184,Female,21-25,Complaint,There were more flies in the canteen.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
185,Female,21-25,Complaint,There were more flies in the canteen.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
186,Female,21-25,Complaint,There were more flies in the canteen.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
187,Female,21-25,Complaint,There were more flies in the canteen.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
188,Female,21-25,Complaint,There were more flies in the canteen.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
189,Female,21-25,Complaint,There were more flies in the canteen.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
190,Female,21-25,Complaint,flies are disturbing students in the canteens,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
191,Female,21-25,Complaint,flies are disturbing students in the canteens,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
192,Female,21-25,Complaint,flies are disturbing students in the canteens,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
193,Female,21-25,Complaint,flies are disturbing students in the canteens,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
194,Female,21-25,Complaint,flies are disturbing students in the canteens,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
195,Female,21-25,Complaint,flies are disturbing students in the canteens,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
196,Male,21-25,Complaint,flies are disturbing students in the canteens,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
197,Male,21-25,Complaint,There are more flies in the canteen.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
198,Male,21-25,Complaint,There are more flies in the canteen.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
199,Male,21-25,Complaint,There are more flies in the canteen.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
200,Male,21-25,Complaint,There are more flies in the canteen.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
201,Male,21-25,Complaint,There are more flies in the canteen.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
202,Male,21-25,Complaint,There are more flies in the canteen.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
203,Male,21-25,Complaint,There are more flies in the canteen.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
204,Female,21-25,Complaint,There are so many flies around the canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
205,Female,21-25,Complaint,There are so many flies around the canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
206,Female,21-25,Complaint,There are so many flies around the canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
207,Male,21-25,Complaint,There are so many flies around the canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
208,Male,21-25,Complaint,There are so many flies around the canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
209,Female,21-25,Complaint,There are so many flies around the canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
210,Female,21-25,Complaint,There are so many flies around the canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
211,Male,21-25,Complaint,There are so many flies around the canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
212,Male,21-25,Complaint,There are many flies around the canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
213,Male,21-25,Complaint,There are many flies around the canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
214,Male,21-25,Complaint,There are many flies around the canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
215,Male,21-25,Complaint,There are many flies around the canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
216,Female,21-25,Complaint,There are many flies around the canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
217,Female,21-25,Complaint,There are many flies around the canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
218,Female,21-25,Complaint,There are many flies around the canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
219,Male,21-25,Complaint,There are many flies around the canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
220,Male,21-25,Complaint,There are many flies around the canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
221,Female,25-30,Complaint,dogs are always walking around the canteens,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
222,Female,25-30,Complaint,dogs are always walking around the canteens,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
223,Female,25-30,Complaint,dogs are barking inside the canteens,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
224,Female,25-30,Complaint,dogs are barking inside the canteens,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
225,Male,21-25,Complaint,dogs are bothering students inside the canteens,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
226,Male,21-25,Complaint,dogs are bothering students inside the canteens,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
227,Female,21-25,Complaint,There were more flies in the canteen.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
228,Male,21-25,Complaint,Is there enough varieties of foods to choose for a student? ,There are many varieties of foods in all the canteens of the university.,Student Services Department,Public Services Office
229,Female,21-25,Question,What are the reasons for having different price levels in different canteens?,Canteens provide foods brohgt by the different places.,Student Services Department,Public Services Office
230,Female,21-25,Question,Can you ensure the cleanliness of the water supplied?,University provides water supplied by the water board,Student Services Department,Public Services Office
231,Male,21-25,Question,Do you supply filtered water for the student?,there are many water filters available in the university canteens.,Student Services Department,Public Services Office
232,Male,21-25,Question,can we get more water filters for each floor?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
233,Male,21-25,Request,How much is the one cigarette..?,University canteens not provides the cigarettes.,Student Services Department,Public Services Office
234,Male,21-25,Question,How long the canteens will be open?,Canteens are open within the university hourse,Student Services Department,Public Services Office
235,Male,21-25,Question,Is the foods are worthy for the price that spending?,You can get foods for worthy prices from canteens in university.,Student Services Department,Public Services Office
236,Female,21-25,Question,Can you place more water filters?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
237,Female,21-25,Request,Is all the food and beverages available are healthy and good ?,Canteens provides healthy and good foods and beverages for students,Student Services Department,Public Services Office
238,Male,21-25,Question,it is good to have more cashiers for canteen,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
239,Male,21-25,Request,it is good to have more cashiers in canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
240,Male,21-25,Request,Can we have more cashiers in canteens?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
241,Male,21-25,Request,Can we have at least two cashiers for canteen..?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
242,Female,21-25,Request,Can students complain about the canteen foods?,You can do a complaint using a Complaint section.,Student Services Department,Public Services Office
243,Male,21-25,Question,How can it prove about the water quality of university?,Canteens provides healthy and good foods and beverages for students,Student Services Department,Public Services Office
244,Female,21-25,Question,From where the water is supplied for the university?,University provides water supplied by the water board,Student Services Department,Public Services Office
245,Male,21-25,Question,Are the students suppose to pay for drinking water or is it free of charge? ,University provides free water filters to the student,Student Services Department,Public Services Office
246,Female,21-25,Question,Are there any vegetarian and vegan food available at the canteen?,There are vegetarian and vegan food available at the canteens,Student Services Department,Public Services Office
247,Female,21-25,Question,Is the canteen halal certified? ,University canteens are halal certified.,Student Services Department,Public Services Office
248,Female,21-25,Question,Has the canteen gone under health and safety inspections?,University canteens provides foods under health and safety inspections,Student Services Department,Public Services Office
249,Female,21-25,Request,Can you place more tables and chairs in study areas?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
250,Male,21-25,Request,Can you place more tables and chairs in study areas?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
251,Female,21-25,Request,it is good to have more tables and chairs in study areas,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
252,Female,21-25,Request,it is good to have more tables and chairs in study areas,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
253,Female,21-25,Request,it is good to have more tables and chairs in lecture halls,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
254,Male,21-25,Request,it is good to have more tables and chairs in lecture halls,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
255,Male,21-25,Request,Can you place more tables and chairs in lecture halls?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
256,Female,21-25,Request,Can you place more tables and chairs in lecture halls?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
257,Female,21-25,Request,it is good to have more tables and chairs in canteens,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
258,Female,21-25,Request,it is good to have more tables and chairs in canteens,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
259,Male,25-30,Request,Can you place more tables and chairs in canteens?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
260,Male,21-25,Request,Can you place more tables and chairs in canteens?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
261,Male,21-25,Question,Are the prices of foods the same in every canteens in the university?,Prices of foods are not the same in every canteens in the university. Canteens provide foods brought by the different places.,Student Services Department,Public Services Office
262,Male,21-25,Question,Wha is the time period in which the canteens are kept open?,Canteens are open within the university hourse,Student Services Department,Public Services Office
263,Male,21-25,Question,Are the same sponser companies run every canteens in the university?,there are not same sponser companies run every canteens in the university,Student Services Department,Public Services Office
264,Male,21-25,Request,"it is good,if we can have some more water taps ",Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
265,Male,21-25,Request,"it is good,if we can have some more water taps ",Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
266,Male,21-25,Request,we need some more water taps ,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
267,Male,21-25,Request,Can you please add some more water taps ?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
268,Male,21-25,Request,Can you please add some more water taps ?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
269,Female,25-30,Request,Is it possible for providing a canteen facility in the engineering building?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
270,Female,21-25,Request,it is better to have juice bar in canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
271,Female,21-25,Request,it is better to have juice bar in canteens.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
272,Female,21-25,Request,Can we have a juice bar in canteen..?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
273,Female,21-25,Question,Can we take lunch from the canteen ? ,Students can get breakfast and lunch from the university canteens.,Student Services Department,Public Services Office
274,Female,21-25,Question,Is drinkable water supplied to every canteen?,There are many water filters available in the university canteens. Students can use filtered water.,Student Services Department,Public Services Office
275,Female,21-25,Question,is there clean water in camps pipe lines?,"University provides cleaned water to students, and also there are many water filters available in the university canteens.",Student Services Department,Public Services Office
276,Female,21-25,Question,Is there a price difference between outside shops and on camps canteens ?,University provides foods and beverages in cheap prices for university students. Students can buy foods and beverages for low prices than the outside shops.,Student Services Department,Public Services Office
277,Female,21-25,Question,"Can I get canteen and water facilities for a fair price? 
",University provides canteen facilities for fair prices to students. University provides free water facilities to students.,Student Services Department,Public Services Office
278,Male,21-25,Question,Do I get canteen and water facilities from the best conditions? ,University provides canteen and water facilities to students within best condotions.,Student Services Department,Public Services Office
279,Male,21-25,Question,What foods can get from the canteens..?,There are many varieties of foods and beverages in all the canteens of the university.,Student Services Department,Public Services Office
280,Male,21-25,Question,How about the canteen and water facilities..?,University provides canteen facilities for fair prices to students. University provides free water facilities to students.,Student Services Department,Public Services Office
281,Female,21-25,Question,Can I know the canteen opening and closing times?,University canteens are open within the university hours.,Student Services Department,Public Services Office
282,Female,25-30,Question,How many canteens available?,There are more than 6 canteens available in the university.,Student Services Department,Public Services Office
283,Female,21-25,Question,What type of foods they are supplying? ,There are many varieties of foods and beverages in all the canteens of the university.,Student Services Department,Public Services Office
284,Female,21-25,Question,How many canteens does university has?,There are more than 6 canteens available in the university.,Student Services Department,Public Services Office
285,Female,21-25,Question,Do you have good condition of water? ,"University provides cleaned water to students, and also there are many water filters available in the university canteens.",Student Services Department,Public Services Office
286,Female,21-25,Question,Do we can get discounted meals from canteens?,University provides foods and beverages in cheap prices for university students. Students can buy foods and beverages for low prices than the outside shops.,Student Services Department,Public Services Office
287,Female,21-25,Question,Can I know the expire date of this (some food) ?,Expire date of the foods are consist with cover of the food.,Student Services Department,Public Services Office
288,Female,21-25,Question,How do you guarantee drinking water cleanliness provided by the canteens..?,There are many water filters available in the university canteens. Students can use filtered water.,Student Services Department,Public Services Office
289,Female,21-25,Question,Can students have healthy foods and filtering water..?,Canteens provides healthy and good foods and beverages for students. There are many water filters available in the university canteens. Students can use filtered water.,Student Services Department,Public Services Office
290,Female,21-25,Question,Can university give drinking water with filtering ?,There are many water filters available in the university canteens. Students can use filtered water.,Student Services Department,Public Services Office
291,Male,21-25,Request,Can u build the canteen with more chairs and tables.,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
292,Female,16-20,Question,How many canteens are currently available in the university..?,There are more than 6 canteens available in the university.,Student Services Department,Public Services Office
293,Female,21-25,Question,Do you take responsibility for the safety and hygiene of the food?,University takes responsibility for the safety and hygiene of the foods.,Student Services Department,Public Services Office
294,Male,21-25,Question,Can we have hot water facility to drink? ,Water filters provide hot water facilities to students.,Student Services Department,Public Services Office
295,Male,21-25,Question,Is there any hostels available for a girl?,University provides hostel facilities for limited students.,Student Services Department,Public Services Office
296,Male,21-25,Question,"Can anyone outside of the SLIIT, enter the student hostels..?",student parents or guardians only can enter the student hostels,Student Services Department,Public Services Office
297,Male,21-25,Question,Is there a good security in Hostels..?,there is a good security in hostels.,,Public Services Office
298,Female,21-25,Question,Are there any free hostel facilities..?,Hostel facilities are not free.,Student Services Department,Public Services Office
299,Male,21-25,Question,"Can students have food for all meals in university hostel?
","students can have food for all meals in university hostel
",Student Services Department,Public Services Office
300,Female,21-25,Request,It is better that you can supply hostel facilities for all the students.,There is not the facility to supply  hostel facilities for all the students in the university yet. Thank you for your new idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
301,Female,21-25,Request,It is better that you can supply hostel facilities for all the students.,There is not the facility to supply  hostel facilities for all the students in the university yet. Thank you for your new idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
302,Male,21-25,Request,It is better that you can supply hostel facilities for all the students.,There is not the facility to supply  hostel facilities for all the students in the university yet. Thank you for your new idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
303,Female,21-25,Question,Are every hostel room has a attached bathroom..?,every hostel room has a attached bathroom.,Student Services Department,Public Services Office
304,Male,21-25,Question,Is there are any special time that outsiders can bring to the hostel..?,student parents or guardians only can enter the student hostels,Student Services Department,Public Services Office
305,Male,21-25,Question,"Can anyone in the outside, bring inside to the hostel at anytime..?",student parents or guardians only can enter the student hostels,Student Services Department,Public Services Office
306,Female,21-25,Question,What happens of somebody complain about the food inside the university?,"If someone do a complain, we will direct it to the relevant section of that department, then you can have speedy solution for that.",Student Services Department,Public Services Office
307,Male,21-25,Question,Can you guarantee the cleanliness of the common places in the hostel..?,All the common places inside the hostel are clean. There's a good cleaning service.,Student Services Department,Public Services Office
308,Female,21-25,Question,Do you provide accommodation for students in case they are unable to reach their private accommodation (situations like having no transportation method available) and if ao do you charge? ,"Still there is not any any facility like that, but we will direct your new idea to the relevant section of the department.",Student Services Department,Public Services Office
309,Female,21-25,Question,Can you all please add some more cushions to the hostel?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
310,Male,21-25,Question,Can I get an assured protection in student hostels? ,There's an assured protection in student hostels.,Student Services Department,Public Services Office
311,Male,21-25,Question,Can I get hostel facilities in healthy and good conditions? ,Students can get hostel facilities in healthy and good conditions.,Student Services Department,Public Services Office
312,Female,21-25,Question,Do students can get hostels to stay? ,University students can get hostels to stay.,Student Services Department,Public Services Office
313,Male,21-25,Question,Is accomodation free?,"Considering all the facilities in university hostels, students have to pay monthly payment for the hostel.",Student Services Department,Public Services Office
314,Female,21-25,Question,Is it possible to acquire non shared rooms ?,There's no any facilities to acquire non shared rooms to students.,Student Services Department,Public Services Office
315,Female,21-25,Request,It is better that university can provide non shared rooms to students,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
316,Male,21-25,Request,can u build more wash rooms..?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Public Services Office
317,Female,21-25,Question,Can university provide hostel facilities to all the students who needs hostels..?,There is not the facility to supply  hostel facilities for all the students in the university yet. ,Student Services Department,Public Services Office
318,Female,21-25,Question,What are the basket subjects for Software Engineering specializing students in 4th year 2nd semester?,"4th year 2nd semester basket subjects for Software Engineering specialization are Deep Learning, Enterprise Application Development, Parallel Computing, Secure Software Development",Educational Department,Academic works management 
319,Female,21-25,Question,What are the basket subjects for Software Engineering specializing students in 4th year 1st semester?,"4th year 1st semester basket subjects for Software Engineering specialization are Current Trends in Software Engineering, Image Understanding and Processing, Machine Learning, Mobile Application Design and Development, Robotics and Intelligent Systems.",Educational Department,Academic works management 
320,Male,21-25,Question,What are the basket subjects for Data Science specializing students in 4th year 2nd semester?,"4th year 2nd semester basket subjects for Data Science specialization are Database Administration and Storage Systems, Introduction to Information Security Analytics.",Educational Department,Academic works management 
321,Male,21-25,Question,What are the basket subjects for Data Science specializing students in 4th year 1st semester?,"4th year 1st semester basket subjects for Data Science specialization are Internet of thingd and Big Data Analytics, Visual Analytics and User Experience Design.",Educational Department,Academic works management 
322,Female,21-25,Question,What are the basket subjects for Information Technology specializing students in 4th year 2nd semester?,"4th year 2nd semester basket subjects for Information Technology specialization are Cloud Computing, Database Administration, Deep Learning, Innovation Management and Intrepreneurship, Internet of Things, Knowledge Management, Parallel Computing.",Educational Department,Academic works management 
323,Female,21-25,Question,What are the basket subjects for Information Technology specializing students in 4th year 1st semester?,"4th year 1st semester basket subjects for Information Technology specialization are Computer Systems and Network Administration, Image Understanding and Processing, Information Assurance and Auditing, Machine Learning, Modern Topics in IT, Robotics and Intelligent Systems, Software Quality Assurance.",Educational Department,Academic works management 
324,Female,21-25,Question,What are the basket subjects for Cyber Security specializing students in 4th year 2nd semester?,"4th year 2nd semester basket subjects for Cyber Security specialization are Govenance and Cyber Law Clinic , Hardware Security , Information warfare , Secure Software Engineering.",Educational Department,Academic works management 
325,Female,21-25,Question,What are the basket subjects for Cyber Security specializing students in 4th year 1st semester?,"4th year 1st semester basket subjects for Cyber Security specialization are Cyber Forensics and Incident Response, Machine Learning for Cyber Security, Offensive Hacking Tactical And Strategic, Secure Software Engineering, Security Economic Analysis.",Educational Department,Academic works management 
326,Male,21-25,Question,What are the basket subjects for Computer Systems & Network Engineering specializing students in 4th year 2nd semester?,"4th year 2nd semester basket subjects for Computer Systems & Network Engineering specialization are Design and Management of Enterprise Networks, Enterprise Standards for Information Systems, Internet of Things, Virtualization and Cloud Computing Technologies.",Educational Department,Academic works management 
327,Female,16-20,Question,What are the basket subjects for Computer Systems & Network Engineering specializing students in 4th year 1st semester?,"4th year 1st semester basket subjects for Computer Systems & Network Engineering specialization are Information Assurance & Auditing, Information Security Management, Robotics & Intelligent Systems, Software Defined Networks.",Educational Department,Academic works management 
328,Female,21-25,Question,What are the basket subjects for Information Systems Engineering specializing students in 4th year 2nd semester?,"4th year 2nd semester basket subjects for Information Systems Engineering specialization are Human Computer Interaction, Innovation Management and Entrepreneurship, Knowledge Management, Practicing Business Analyst, Supply Chain Management.",Educational Department,Academic works management 
329,Male,21-25,Question,What are the basket subjects for Information Systems Engineering specializing students in 4th year 1st semester?,"4th year 1st semester basket subjects for Information Systems Engineering specialization are Business Process Management, Human Resource Information Systems, Information Assurance & Auditing, Software Quality Assurance.",Educational Department,Academic works management 
330,Male,21-25,Question,What are the basket subjects for Interactive Media specializing students in 4th year 2nd semester?,"4th year 2nd semester basket subjects for Interactive Media specialization are Mobile Application Design and Development, Multimedia Project Management.",Educational Department,Academic works management 
331,Male,21-25,Question,What are the basket subjects for Interactive Media specializing students in 4th year 1st semester?,"4th year 1st semester basket subjects for Interactive Media specialization are Games Development, Trends in Digital Media.",Educational Department,Academic works management 
332,Female,21-25,Question,What are the subjects for Computer Systems & Network Engineering in 3rd year 1st semester?,"3rd year 1st semester subjects for Computer Systems & Network Engineering specialization are Directory Services and Network Management, Employability Skills Development, Information Storage Management, Wide Area Networks, Wireless Communications.",Educational Department,Academic works management 
333,Male,21-25,Question,What are the subjects for Computer Systems & Network Engineering in 3rd year 2nd semester?,"3rd year 2nd semester subjects for Computer Systems & Network Engineering specialization are Business Management for IT, Network Programming, Network Security Engineering, Network Technology Project.",Educational Department,Academic works management 
334,Female,21-25,Question,What are the subjects for Cyber Security in 3rd year 1st semester?,"3rd year 1st semester subjects for Cyber Security specialization are Applied Information Assurance, Employability Skills Development, Information Security Risk Management, Mobile Security, Network Security, Secure Software Systems.",Educational Department,Academic works management 
335,Female,21-25,Question,What are the subjects for Cyber Security in 3rd year 2nd semester?,"3rd year 2nd semester subjects for Cyber Security specialization are Cryptography, Data and Operating Systems Security, Enterprise Standards for Information Security, Information Security Policy and Management, Information Security Project.",Educational Department,Academic works management 
336,Male,21-25,Question,What are the subjects for Data Science in 3rd year 1st semester?,"3rd year 1st semester subjects for Data Science specialization are Data Warehousing and Business Intelligence, Database Systems and Data-Driven Application, Programming Applications and Frameworks, Theory and Practices in Statistical Modelling.",Educational Department,Academic works management 
337,Male,21-25,Question,What are the subjects for Data Science in 3rd year 2nd semester?,"3rd year 2nd semester subjects for Data Science specialization are Fundamentals of Data Mining, Information Retrieval and Web Analytics, Machine Learning and Optimization Methods, Massive Data Processing and Cloud Computing.",Educational Department,Academic works management 
338,Male,21-25,Question,What are the subjects for Information Systems Engineering in 3rd year 1st semester?,"3rd year 1st semester subjects for Information Systems Engineering specialization are Organizational Business Function, 2021_IS Project Management, Data Management and Business Intelligence, E-Business: strategy, Architecture and Design, Management Information Systems.",Educational Department,Academic works management 
339,Female,21-25,Question,What are the subjects for Information Systems Engineering in 3rd year 2nd semester?,"3rd year 2nd semester subjects for Information Systems Engineering specialization are Enterprise resourse planning, Information Security Management, Information Systems Strategic Management, Organizational Business Fundamentals.",Educational Department,Academic works management 
340,Male,21-25,Question,What are the subjects for Information Technology in 3rd year 1st semester?,"3rd year 1st semester subjects for Information Technology specialization are Database Systems, Employability Skills Development, IT Project Management, Network Design and Management, Programming Applications and Frameworks.",Educational Department,Academic works management 
341,Male,21-25,Question,What are the subjects for Information Technology in 3rd year 2nd semester?,"3rd year 2nd semester subjects for Information Technology specialization are Bussiness Management for IT, Data Science & Analytics, Human Computer Interaction, Information Assurance & Security.",Educational Department,Academic works management 
342,Female,21-25,Question,What are the subjects for Interactive Media in 3rd year 1st semester?,"3rd year 1st semester subjects for Interactive Media specialization are Design Ideation & Creative Communication, Digital Marketing Strategies, Employability Skills Development, Technical Evolution of Multimedia, User Experience Designing.",Educational Department,Academic works management 
343,Male,21-25,Question,What are the subjects for Interactive Media in 3rd year 2nd semester?,"3rd year 2nd semester subjects for Interactive Media specialization are 3D Modeling and Animation, Digital Image Processing, Digital Video Production and Delivery, Games Technology.",Educational Department,Academic works management 
344,Male,21-25,Question,What are the subjects for Software Engineering in 3rd year 1st semester?,"3rd year 1st semester subjects for Software Engineering specialization are Application Frameworks, Distributed Systems, Employability Skills Development, Software Architecture, Software Engineering Process & Quality Management.",Educational Department,Academic works management 
345,Female,21-25,Question,What are the subjects for Software Engineering in 3rd year 2nd semester?,"3rd year 2nd semester subjects for Software Engineering specialization are Case Studies in Software Engineering, Database Systems, Software Project Management, User Experience Engineering.",Educational Department,Academic works management 
346,Male,21-25,Question,What are the subjects for Computer Systems & Network Engineering in 2nd year 1st semester?,"2nd year 1st semester subjects for Computer Systems & Network Engineering specialization are Analog Electronics, Database System Administration, Digital Electronics, Object Oriented Programming, Probability & Statistics, Routing & Switching.",Educational Department,Academic works management 
347,Male,21-25,Question,What are the subjects for Computer Systems & Network Engineering in 2nd year 2nd semester?,"2nd year 2nd semester subjects for Computer Systems & Network Engineering specialization are Advanced Internet working, Computer Systems Administration, Embedded Systems, Operating Systems, Professional Engineering Practice and Industrial Management.",Educational Department,Academic works management 
348,Male,21-25,Question,What are the subjects for Cyber Security in 2nd year 1st semester?,"2nd year 1st semester subjects for Cyber Security specialization are Database Management Systems for Security, Introduction to Cyber Security, Secure Operating Systems, Systems and Network Programming(C/Python).",Educational Department,Academic works management 
349,Female,21-25,Question,What are the subjects for Cyber Security in 2nd year 2nd semester?,"2nd year 2nd semester subjects for Cyber Security specialization are Advanced Networking Technologies, Descrete Mathematics, Employability Skills Development, Foundations of Algorithms, Professional Skills, Web Security.",Educational Department,Academic works management 
350,Male,21-25,Question,What are the subjects for Information Systems Engineering in 2nd year 1st semester?,"2nd year 1st semester subjects for Information Systems Engineering specialization are Structured Analysis and Design, Database Management Systems, Design and Management of Computing Infrastructure, Information Systems Analysis , Object Oriented Programming .",Educational Department,Academic works management 
351,Female,21-25,Question,What are the subjects for Information Systems Engineering in 2nd year 2nd semester?,"2nd year 2nd semester subjects for Information Systems Engineering specialization are Employability Skills Development, Information Systems Project, Object Oriented Analysis and Design, Operating Systems and Administration, Probability & Statistics, Professional Skills.",Educational Department,Academic works management 
352,Male,21-25,Question,What are the subjects for Information Technology in 2nd year 1st semester?,"2nd year 1st semester subjects for Information Technology specialization are Computer Networks, Database Management Systems, Object Oriented Programming, Operating Systems and System Administration, Software Engineering.",Educational Department,Academic works management 
353,Female,21-25,Question,What are the subjects for Information Technology in 2nd year 2nd semester?,"2nd year 2nd semester subjects for Information Technology specialization are Data Structures & Algorithms, Employability Skills Development, Information Technology Project, Mobile Application Development, Probability & Statistics, Professional Skills.",Educational Department,Academic works management 
354,Female,21-25,Question,What are the subjects for Information Technology in 1st year 1st semester?,"1st year 1st semester subjects for Information Technology specialization are Communication Skills, Introduction to Computer Systems, Introduction to Programming, Mathematics for Computing.",Educational Department,Academic works management 
355,Female,21-25,Question,What are the subjects for Information Technology in 1st year 2nd semester?,"1st year 2nd semester subjects for Information Technology specialization are English for Academic Purposes, Information Systems & Data Modeling, Internet & Web Technologies, Object Oriented Concepts, Software Process Modeling.",Educational Department,Academic works management 
356,Female,21-25,Question,What are the subjects for Computer Systems & Network Engineering in 1st year 2nd semester?,"1st year 2nd semester subjects for Computer Systems & Network Engineering specialization are Engineering Mathematics, English for Academic Purposes, Information Systems & Data Modeling, Network Fundamentals, Object Oriented Concepts.",Educational Department,Academic works management 
