id,Gender,Age_group,Concern_Type,Student_Concern,Solution,Department,Sub_Section
164,Female,21-25,Question,Is it possible to acquire non shared rooms ?,There's no any facilities to acquire non shared rooms to students.,Student Services Department,Hostel Facility Management
165,Female,21-25,Request,It is better that university can provide non shared rooms to students?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Hostel Facility Management
166,Female,21-25,Request,can u build more wash rooms..?,Thank you for your idea. We will direct it to the relevant section of the department.,Student Services Department,Hostel Facility Management
167,Female,21-25,Question,Can university provide hostel facilities to all the students who needs hostels..?,There is not the facility to supply  hostel facilities for all the students in the university yet. ,Student Services Department,Hostel Facility Management
168,Female,21-25,Question,What are the basket subjects for Software Engineering specializing students in 4th year 2nd semester?,"4th year 2nd semester basket subjects for Software Engineering specialization are Deep Learning, Enterprise Application Development, Parallel Computing, Secure Software Development",Educational Department,Lectures and Course works Management
169,Male,21-25,Question,What are the basket subjects for Software Engineering specializing students in 4th year 1st semester?,"4th year 1st semester basket subjects for Software Engineering specialization are Current Trends in Software Engineering, Image Understanding and Processing, Machine Learning, Mobile Application Design and Development, Robotics and Intelligent Systems.",Educational Department,Lectures and Course works Management
170,Male,21-26,Question,What are the basket subjects for Data Science specializing students in 4th year 2nd semester?,"4th year 2nd semester basket subjects for Data Science specialization are Database Administration and Storage Systems, Introduction to Information Security Analytics.",Educational Department,Lectures and Course works Management
171,Female,16-20,Question,What are the basket subjects for Data Science specializing students in 4th year 1st semester?,"4th year 1st semester basket subjects for Data Science specialization are Internet of thingd and Big Data Analytics, Visual Analytics and User Experience Design.",Educational Department,Lectures and Course works Management
172,Female,21-25,Question,What are the basket subjects for Information Technology specializing students in 4th year 2nd semester?,"4th year 2nd semester basket subjects for Information Technology specialization are Cloud Computing, Database Administration, Deep Learning, Innovation Management and Intrepreneurship, Internet of Things, Knowledge Management, Parallel Computing.",Educational Department,Lectures and Course works Management
173,Male,21-25,Question,What are the basket subjects for Information Technology specializing students in 4th year 1st semester?,"4th year 1st semester basket subjects for Information Technology specialization are Computer Systems and Network Administration, Image Understanding and Processing, Information Assurance and Auditing, Machine Learning, Modern Topics in IT, Robotics and Intelligent Systems, Software Quality Assurance.",Educational Department,Lectures and Course works Management
174,Male,21-25,Question,What are the basket subjects for Cyber Security specializing students in 4th year 2nd semester?,"4th year 2nd semester basket subjects for Cyber Security specialization are Govenance and Cyber Law Clinic , Hardware Security , Information warfare , Secure Software Engineering.",Educational Department,Lectures and Course works Management
175,Male,21-25,Question,What are the basket subjects for Cyber Security specializing students in 4th year 1st semester?,"4th year 1st semester basket subjects for Cyber Security specialization are Cyber Forensics and Incident Response, Machine Learning for Cyber Security, Offensive Hacking Tactical And Strategic, Secure Software Engineering, Security Economic Analysis.",Educational Department,Lectures and Course works Management
176,Female,21-25,Question,What are the basket subjects for Computer Systems & Network Engineering specializing students in 4th year 2nd semester?,"4th year 2nd semester basket subjects for Computer Systems & Network Engineering specialization are Design and Management of Enterprise Networks, Enterprise Standards for Information Systems, Internet of Things, Virtualization and Cloud Computing Technologies.",Educational Department,Lectures and Course works Management
177,Female,21-25,Question,What are the basket subjects for Computer Systems & Network Engineering specializing students in 4th year 1st semester?,"4th year 1st semester basket subjects for Computer Systems & Network Engineering specialization are Information Assurance & Auditing, Information Security Management, Robotics & Intelligent Systems, Software Defined Networks.",Educational Department,Lectures and Course works Management
178,Female,21-25,Question,What are the basket subjects for Information Systems Engineering specializing students in 4th year 2nd semester?,"4th year 2nd semester basket subjects for Information Systems Engineering specialization are Human Computer Interaction, Innovation Management and Entrepreneurship, Knowledge Management, Practicing Business Analyst, Supply Chain Management.",Educational Department,Lectures and Course works Management
179,Female,21-25,Question,What are the basket subjects for Information Systems Engineering specializing students in 4th year 1st semester?,"4th year 1st semester basket subjects for Information Systems Engineering specialization are Business Process Management, Human Resource Information Systems, Information Assurance & Auditing, Software Quality Assurance.",Educational Department,Lectures and Course works Management
180,Female,21-25,Question,What are the basket subjects for Interactive Media specializing students in 4th year 2nd semester?,"4th year 2nd semester basket subjects for Interactive Media specialization are Mobile Application Design and Development, Multimedia Project Management.",Educational Department,Lectures and Course works Management
181,Female,21-25,Question,What are the basket subjects for Interactive Media specializing students in 4th year 1st semester?,"4th year 1st semester basket subjects for Interactive Media specialization are Games Development, Trends in Digital Media.",Educational Department,Lectures and Course works Management
182,Male,21-25,Question,What are the subjects for Computer Systems & Network Engineering in 3rd year 1st semester?,"3rd year 1st semester subjects for Computer Systems & Network Engineering specialization are Directory Services and Network Management, Employability Skills Development, Information Storage Management, Wide Area Networks, Wireless Communications.",Educational Department,Lectures and Course works Management
183,Male,21-25,Question,What are the subjects for Computer Systems & Network Engineering in 3rd year 2nd semester?,"3rd year 2nd semester subjects for Computer Systems & Network Engineering specialization are Business Management for IT, Network Programming, Network Security Engineering, Network Technology Project.",Educational Department,Lectures and Course works Management
184,Female,21-25,Question,What are the subjects for Cyber Security in 3rd year 1st semester?,"3rd year 1st semester subjects for Cyber Security specialization are Applied Information Assurance, Employability Skills Development, Information Security Risk Management, Mobile Security, Network Security, Secure Software Systems.",Educational Department,Lectures and Course works Management
185,Female,21-25,Question,What are the subjects for Cyber Security in 3rd year 2nd semester?,"3rd year 2nd semester subjects for Cyber Security specialization are Cryptography, Data and Operating Systems Security, Enterprise Standards for Information Security, Information Security Policy and Management, Information Security Project.",Educational Department,Lectures and Course works Management
186,Female,21-25,Question,What are the subjects for Data Science in 3rd year 1st semester?,"3rd year 1st semester subjects for Data Science specialization are Data Warehousing and Business Intelligence, Database Systems and Data-Driven Application, Programming Applications and Frameworks, Theory and Practices in Statistical Modelling.",Educational Department,Lectures and Course works Management
187,Female,21-25,Question,What are the subjects for Data Science in 3rd year 2nd semester?,"3rd year 2nd semester subjects for Data Science specialization are Fundamentals of Data Mining, Information Retrieval and Web Analytics, Machine Learning and Optimization Methods, Massive Data Processing and Cloud Computing.",Educational Department,Lectures and Course works Management
188,Female,21-25,Question,What are the subjects for Information Systems Engineering in 3rd year 1st semester?,"3rd year 1st semester subjects for Information Systems Engineering specialization are Organizational Business Function, 2021_IS Project Management, Data Management and Business Intelligence, E-Business: strategy, Architecture and Design, Management Information Systems.",Educational Department,Lectures and Course works Management
189,Female,21-25,Question,What are the subjects for Information Systems Engineering in 3rd year 2nd semester?,"3rd year 2nd semester subjects for Information Systems Engineering specialization are Enterprise resourse planning, Information Security Management, Information Systems Strategic Management, Organizational Business Fundamentals.",Educational Department,Lectures and Course works Management
190,Female,21-25,Question,What are the subjects for Information Technology in 3rd year 1st semester?,"3rd year 1st semester subjects for Information Technology specialization are Database Systems, Employability Skills Development, IT Project Management, Network Design and Management, Programming Applications and Frameworks.",Educational Department,Lectures and Course works Management
191,Female,21-25,Question,What are the subjects for Information Technology in 3rd year 2nd semester?,"3rd year 2nd semester subjects for Information Technology specialization are Bussiness Management for IT, Data Science & Analytics, Human Computer Interaction, Information Assurance & Security.",Educational Department,Lectures and Course works Management
192,Female,21-25,Question,What are the subjects for Interactive Media in 3rd year 1st semester?,"3rd year 1st semester subjects for Interactive Media specialization are Design Ideation & Creative Communication, Digital Marketing Strategies, Employability Skills Development, Technical Evolution of Multimedia, User Experience Designing.",Educational Department,Lectures and Course works Management
193,Female,21-25,Question,What are the subjects for Interactive Media in 3rd year 2nd semester?,"3rd year 2nd semester subjects for Interactive Media specialization are 3D Modeling and Animation, Digital Image Processing, Digital Video Production and Delivery, Games Technology.",Educational Department,Lectures and Course works Management
194,Female,21-25,Question,What are the subjects for Software Engineering in 3rd year 1st semester?,"3rd year 1st semester subjects for Software Engineering specialization are Application Frameworks, Distributed Systems, Employability Skills Development, Software Architecture, Software Engineering Process & Quality Management.",Educational Department,Lectures and Course works Management
195,Female,21-25,Question,What are the subjects for Software Engineering in 3rd year 2nd semester?,"3rd year 2nd semester subjects for Software Engineering specialization are Case Studies in Software Engineering, Database Systems, Software Project Management, User Experience Engineering.",Educational Department,Lectures and Course works Management
196,Male,21-25,Question,What are the subjects for Computer Systems & Network Engineering in 2nd year 1st semester?,"2nd year 1st semester subjects for Computer Systems & Network Engineering specialization are Analog Electronics, Database System Administration, Digital Electronics, Object Oriented Programming, Probability & Statistics, Routing & Switching.",Educational Department,Lectures and Course works Management
197,Male,21-25,Question,What are the subjects for Computer Systems & Network Engineering in 2nd year 2nd semester?,"2nd year 2nd semester subjects for Computer Systems & Network Engineering specialization are Advanced Internet working, Computer Systems Administration, Embedded Systems, Operating Systems, Professional Engineering Practice and Industrial Management.",Educational Department,Lectures and Course works Management
198,Male,21-25,Question,What are the subjects for Cyber Security in 2nd year 1st semester?,"2nd year 1st semester subjects for Cyber Security specialization are Database Management Systems for Security, Introduction to Cyber Security, Secure Operating Systems, Systems and Network Programming(C/Python).",Educational Department,Lectures and Course works Management
199,Male,21-25,Question,What are the subjects for Cyber Security in 2nd year 2nd semester?,"2nd year 2nd semester subjects for Cyber Security specialization are Advanced Networking Technologies, Descrete Mathematics, Employability Skills Development, Foundations of Algorithms, Professional Skills, Web Security.",Educational Department,Lectures and Course works Management
200,Male,21-25,Question,What are the subjects for Information Systems Engineering in 2nd year 1st semester?,"2nd year 1st semester subjects for Information Systems Engineering specialization are Structured Analysis and Design, Database Management Systems, Design and Management of Computing Infrastructure, Information Systems Analysis , Object Oriented Programming .",Educational Department,Lectures and Course works Management
201,Male,21-25,Question,What are the subjects for Information Systems Engineering in 2nd year 2nd semester?,"2nd year 2nd semester subjects for Information Systems Engineering specialization are Employability Skills Development, Information Systems Project, Object Oriented Analysis and Design, Operating Systems and Administration, Probability & Statistics, Professional Skills.",Educational Department,Lectures and Course works Management
202,Male,21-25,Question,What are the subjects for Information Technology in 2nd year 1st semester?,"2nd year 1st semester subjects for Information Technology specialization are Computer Networks, Database Management Systems, Object Oriented Programming, Operating Systems and System Administration, Software Engineering.",Educational Department,Lectures and Course works Management
203,Male,21-25,Question,What are the subjects forInformation Technology in 2nd year 2nd semester?,"2nd year 2nd semester subjects for Information Technology specialization are Data Structures & Algorithms, Employability Skills Development, Information Technology Project, Mobile Application Development, Probability & Statistics, Professional Skills.",Educational Department,Lectures and Course works Management
204,Female,21-25,Question,What are the subjects for Information Technology in 1st year 1st semester?,"1st year 1st semester subjects for Information Technology specialization are Communication Skills, Introduction to Computer Systems, Introduction to Programming, Mathematics for Computing.",Educational Department,Lectures and Course works Management
205,Female,21-25,Question,What are the subjects for Information Technology in 1st year 2nd semester?,"1st year 2nd semester subjects for Information Technology specialization are English for Academic Purposes, Information Systems & Data Modeling, Internet & Web Technologies, Object Oriented Concepts, Software Process Modeling.",Educational Department,Lectures and Course works Management
206,Female,21-25,Question,What are the subjects for Computer Systems & Network Engineering in 1st year 2nd semester?,"1st year 2nd semester subjects for Computer Systems & Network Engineering specialization are Engineering Mathematics, English for Academic Purposes, Information Systems & Data Modeling, Network Fundamentals, Object Oriented Concepts.",Educational Department,Lectures and Course works Management
207,Male,21-25,Question,Is there an easier way to contact visiting lecturers..?,You can easily contact visiting lecturers by drop an email or you can request  a time slot to meet them by an email.,Educational Department,Lectures and Course works Management
208,Male,21-25,Question,Can lecturers get more interaction from students?,Lecturers can get more interaction from all the students in the batch.,Educational Department,Lectures and Course works Management
209,Female,21-25,Question,what are the CA components of Deep Learning subject..?,You can know about the CA components of all the subjects by the refering the relevant subject in the course web.,Educational Department,Lectures and Course works Management
210,Female,21-25,Request,It's good if we have more practical assignments.,Thank you for your idea. We will direct it to the relevant section of the department.,Educational Department,Lectures and Course works Management
211,Male,21-25,Question,Is there any group works for subjects? ,There are team works or group assignments for every subject.,Educational Department,Lectures and Course works Management
212,Male,21-25,Question,Why we can't access some course materials?,"If you have any access issue to a course meterials, you can directly contact the lecturer incharge of that subject and inform.",Educational Department,Lectures and Course works Management
213,Male,21-25,Question,How can the students join for lectures? virtual or onsite?,"If university is open for on campus activities students can join to the onsite lectures, otherwise  they have to join by virtually.",Educational Department,Lectures and Course works Management
214,Male,21-25,Request,It is good that if you can be more neat in the way you give out assignments.,Thank you for your idea. We will direct it to the relevant section of the department.,Educational Department,Lectures and Course works Management
215,Male,21-25,Question,"How many lecture hours are allocated for each semester?

",Lecture hourse will depend on the lecturer and the subject. ,Educational Department,Lectures and Course works Management
216,Female,21-25,Question,Is it mandatory to attend to the lectures..?,It is mandatory for all the students to attend to the lectures and mark the attendance.,Educational Department,Lectures and Course works Management
217,Female,21-25,Question,Did u give a job after finishing the degree ..?,University will direct some students to the jobs and also university publishes all the vacancies in the sliit career guidance unit.,Educational Department,Lectures and Course works Management
218,Female,21-25,Question,Is it mandatory to do the assignments for students..?,It is mandatory to do the assignments for students in all the subjects.,Educational Department,Lectures and Course works Management
219,Male,21-25,Question,Are the lectures being recorded and shall be use for further use?,All the online lectures will be recorded by the lecturers and publish it in the course web. Students can refer it at any time from the course web.,Educational Department,Lectures and Course works Management
220,Male,21-25,Question,Is the lectures and course work covers all the content that come to the exams..?,"All the exams are based on the lectures and course works for that relevant subject. If that subject needs more knowledge, lecturer let you know to refer the outside books. Students has to refer that books also.",Educational Department,Lectures and Course works Management
221,Female,25-30,Question,"If I unable to attend to the on campus lectures, if there any option to study that lecture?

",You can attend to that lecture with the weekend batch. ,Educational Department,Lectures and Course works Management
222,Female,25-30,Question,"Can we refer the recorded lectures uploaded to course web ?
",All the online lectures will be recorded by the lecturers and publish it in the course web. Students can refer it at any time from the course web.,Educational Department,Lectures and Course works Management
223,Female,25-30,Question,How can I apply to the repeat modules..?,Students can apply to repeat modules by registering for the examination after the payment of the repeat examination fee.,Educational Department,Lectures and Course works Management
224,Female,25-30,Question,Can students ask questions from lectures?,Students can ask questions from any lecturer and clarrify their problems.,Educational Department,Lectures and Course works Management
225,Male,21-25,Question,What happens if lecturers are not well teaching for students?,Students can request to change the teaching pattern from the lecturer or students can  request a another lecturer for that subject.,Educational Department,Lectures and Course works Management
226,Male,21-25,Question,Can students complain about the lectures?,You can do a complaint by using the Conversational Ai system Complaint section.,Educational Department,Lectures and Course works Management
227,Female,21-25,Question,Will the students be provided with lecture material prior to the lectures? ,Students will be provided with the lecture materials prior to the lectures. ,Educational Department,Lectures and Course works Management
228,Male,21-25,Question,Is there a lecture recording system for the students who miss the lectures?,There a lecture recording system.All the online lectures will be recorded by the lecturers and publish it in the course web. Students can refer it at any time.,Educational Department,Lectures and Course works Management
229,Female,21-25,Question,Can the students raise complaints about the teaching methods? ,You can do a complaint by using the Conversational Ai system Complaint section.,Educational Department,Lectures and Course works Management
230,Female,21-25,Question,Are the students suppose to have a specific percentage of attendance to gain admission for exams?,It is mandatory to have a specific percentage of attendance to gain admission for exams for Students. ,Educational Department,Lectures and Course works Management
231,Male,21-25,Question,"If problem arise later about a learned lecture, can the student be asked about it from lecturer?  ",Students can ask questions from any lecturer and clarrify their problems.,Educational Department,Lectures and Course works Management
232,Male,21-25,Question,"If problem arise later about a learned lecture, how to contact the lecturer?",You can contact lecturer by dropping an email or you can clariffy your problem in the next lecture time. All the lectueres are committed for clarrify student problems. ,Educational Department,Lectures and Course works Management
233,Male,21-25,Question,How can I download online lecture records?,There is still not recorded lecture downloading facility. Thank you for your idea. We will direct it to the relevant section of the department.,Educational Department,Lectures and Course works Management
234,Male,21-25,Question,"If the online lecture meeting link is not worked, who I need to contact?","If online lecture meeting link is not working, ",Educational Department,Lectures and Course works Management
235,Male,21-25,Request,Is it possible for increasing the video quality of the lectures ?,Thank you for your idea. We will direct it to the relevant section of the department.,Educational Department,Lectures and Course works Management
236,Female,21-25,Question,Can you please share the lecture timetable ?,Students can refer time tables for all the academic years using the course web.,Educational Department,Lectures and Course works Management
237,Female,21-25,Question,Please give a brief explanation of lectures and course works? ,"Considering the syllabus , there are lectures, tutorials, lab sessions and practicals to relevant group of students according to the timetable.",Educational Department,Lectures and Course works Management
238,Male,21-25,Question,Can we download Video lectures through course web ?,There's no any downloading facility from the course web yet. ,Educational Department,Lectures and Course works Management
239,Male,21-25,Question,It is good to provide a facility to download the Video lectures through the course web.,Thank you for your idea. We will direct it to the relevant section of the department.,Educational Department,Lectures and Course works Management
240,Male,21-25,Question,Can you please record the lecture and upload to course web ?,All the online lectures will be recorded by the lecturers and upload it in the course web. Students can refer it at any time.,Educational Department,Lectures and Course works Management
241,Male,21-25,Request,It is good if you can increase the video quality of the lectures.,Thank you for your idea. We will direct it to the relevant section of the department.,Educational Department,Lectures and Course works Management
242,Female,21-25,Question,Can you please share the lecture time table ?,You can refer time tables for all the academic years using the course web.,Educational Department,Lectures and Course works Management
243,Male,21-25,Question,Is there a formal methodology in directing student questions to the lecturer?,"There's no any formal methodology in directing student questions to the lecturer, but students can ask questions from the lecturer at the lecture time or students can drop a mail to lecturer.",Educational Department,Lectures and Course works Management
244,Female,21-25,Question,"are all the courses conducted by the university, relevant to the industry ?","All the courses conducted by the university, are relevant to the industry.",Educational Department,Lectures and Course works Management
245,Male,21-25,Question,If I need to change my course at a mid of a semester can i do that? ,"Students can change the course by filled the relevant application and submit to Student Services, Upon approval Students may have to complete additional modules as per the
requirements of the newly transferred program/specialization by paying the applicable
fee and if the fee difference between the current program and the transferred program has to be paid by the student upon approval of the transfer. ",Educational Department,Lectures and Course works Management
246,Female,21-25,Question,"If I need to stop my course for some time for a fair and legal reason, can i join to the course again after some time? ","Students can postpone the studentship from one semester to another will be entertained by SLIIT, subjected to the conditions governing the payment of course fees.",Educational Department,Lectures and Course works Management
247,Female,21-25,Question,If I miss some lectures can I join to a different class for the same lecture? ,"If some student miss some lectures, that student can join to a different class for the same lecture.",Educational Department,Lectures and Course works Management
248,Female,21-25,Question,Do we have lectures or lab?,"Considering the syllabus , students have to participate lectures, tutorials, lab sessions and practicals to relevant group according to the timetable.",Educational Department,Lectures and Course works Management
249,Female,21-25,Question,How to refer recorded lecture videos?,All the online lectures will be recorded by the lecturers and publish it in the course web. Students can refer it at any time from the course web.,Educational Department,Lectures and Course works Management
250,Male,21-25,Question,What is lecture schedule? ,Students can refer time tables and lecture schedules for all the academic years using the course web.,Educational Department,Lectures and Course works Management
251,Female,21-25,Question,How many senior lecturers do you have? ,"There are many experienced and professional senior lecturers. If you want detailed information about senior lecturers, you can refer it from www.sliit.lk staff page.",Educational Department,Lectures and Course works Management
252,Female,21-25,Question,Will the lectures be relevant to the industry?,All the lectures and course works are relevant to the industry.,Educational Department,Lectures and Course works Management
253,Female,21-25,Question,How to measure the pass or failure a of module ? ,Students should earn a minimum of a �C� grade to pass a module and should pass all the modules offered in the semester with a minimum semester GPA of 2.00 to pass the semester.,Educational Department,Lectures and Course works Management
254,Male,21-25,Question,Does the lecturer expect comprehensive answers in the exam ?,Some lecturers expect comprehensive answers in the exam. It will depend on the lecturer. Lecturer will let you know the detailed information before the exam.,Educational Department,Lectures and Course works Management
255,Male,21-25,Question, Is it possible to extend the deadline of assignments ?,"If there are any valid reason, it is possible to extend the deadline of assignments.",Educational Department,Lectures and Course works Management
256,Female,21-25,Question,From where can we get detailed information on course works? ,"Students can get detailed information on course works relevant for the every academin year, from the course web.",Educational Department,Lectures and Course works Management
257,Female,21-25,Question,Why they give us lot of assignment without giving enough time to complete them..?,"All the assignments are giving with the enough time to complete. If there are issue with the given time to the students, lecturers will extend the deadline of the assignments. ",Educational Department,Lectures and Course works Management
258,Female,21-25,Request,Can u send lecture notes before the lectures..?,Thank you for your idea. We will direct it to the relevant section of the department.,Educational Department,Lectures and Course works Management
259,Male,25-30,Question,Where can I find extra study materials suggested by the lecturers.,Students can I find extra study materials suggested by the lecturers from the university library.,Educational Department,Lectures and Course works Management
260,Male,21-25,Question,"Do you think,our course works are job oriented? ",All the lectures and course works are relevant to the industry.,Educational Department,Lectures and Course works Management
261,Male,21-25,Question,Can students transfer the fees paid by her/him to SLIIT to the credit of another student under any circumstance?,Students will not be permitted to transfer the fees paid by her/him to SLIIT to the credit of another student under any circumstance.,Educational Department,Lectures and Course works Management
262,Male,21-25,Question,Does university offer student scholarships in first year?,"Performance based Scholarships are offered from First Year onwards, to selected students every semester.",Educational Department,Lectures and Course works Management
263,Male,21-25,Question,Does university offer only full scholarships to students?,Full and Partial Scholarships are available for undergraduate students at SLIIT.,Educational Department,Lectures and Course works Management
264,Male,21-25,Question,How university select scholarship recipients?,Recipients are selected on the basis of the performance of the students at each semester examination.,Educational Department,Lectures and Course works Management
265,Male,21-25,Question,What will happen if a student fails to satisfy the requirements for the award of the Degree?,"A student who fails to satisfy the requirements for the award of the Degree for which he/she had registered during the period of �Studentship�, will not qualify for the award of the Degree.",Educational Department,Lectures and Course works Management
266,Male,21-25,Question,How about the student scholarships offered by sliit to students?,Full and Partial Scholarships are available for undergraduate students at SLIIT. Recipients are selected on the basis of the performance of the students at each semester examination. Scholarship is a contribution by SLIIT to students with exceptional academic performance to further their education which should not be considered as an entitlement.,Educational Department,Lectures and Course works Management
267,Male,21-25,Question,How university select students to offer scholarships?,Recipients are selected on the basis of the performance of the students at each semester examination.,Educational Department,Lectures and Course works Management
268,Male,21-25,Question,How university select scholarship recipients?,Recipients are selected on the basis of the performance of the students at each semester examination.,Educational Department,Lectures and Course works Management
269,Female,25-30,Question,"What is the minimum semester GPA, the student should have to receive a scholarship?",Minimum semester GPA of the student should be 3.70 to receive a scholarship.,Educational Department,Lectures and Course works Management
270,Female,21-25,Question,"What is the minimum class size of the said program or specialization group , the student should have to receive a scholarship?",Minimum class size of the said program or specialization group should be 100 to receive a scholarship. The students in the said class will be ranked according to their semester GPA. ,Educational Department,Lectures and Course works Management
271,Female,21-25,Question,How many students will select to offer the scholarships?,"The top 1% will be considered for a full scholarship recipients, while the next 2% will be considered for a half scholarship recipients. In specializations with less than 100 students, those who have secured exceptionally high GPA may be offered a full scholarship or half scholarship depending on the number of scholarship awarded in total to the complete batch of students of the said semester.",Educational Department,Lectures and Course works Management
272,Female,21-25,Question,How many students will select as the scholarship recipients?,"The top 1% will be considered for a full scholarship recipients, while the next 2% will be considered for a half scholarship recipients. In specializations with less than 100 students, those who have secured exceptionally high GPA may be offered a full scholarship or half scholarship depending on the number of scholarship awarded in total to the complete batch of students of the said semester.",Educational Department,Lectures and Course works Management
273,Female,21-25,Question,How many students will select as the full scholarship recipients?,"The top 1% will be considered for a full scholarship recipients. In specializations with less than 100 students, those who have secured exceptionally high GPA may be offered a full scholarship or half scholarship depending on the number of scholarship awarded in total to the complete batch of students of the said semester.",Educational Department,Lectures and Course works Management
274,Female,21-25,Question,How many students will select as the half scholarship recipients?,"After select the full scholarship recipients, while the next 2% will be considered for a half scholarship recipients. In specializations with less than 100 students, those who have secured exceptionally high GPA may be offered a full scholarship or half scholarship depending on the number of scholarship awarded in total to the complete batch of students of the said semester.",Educational Department,Lectures and Course works Management
275,Female,21-25,Question,Who is taking the final decision of the scholarship recipients?,The final decision will be taken by the Leave and Awards Committee and is non-negotiable.,Educational Department,Lectures and Course works Management
276,Female,21-25,Question,What is the maximum scholarship amount for a semester?,Maximum scholarship amount for a semester would be the equivalent SLIIT program�s semester fee.,Educational Department,Lectures and Course works Management
277,Female,21-25,Question,"What is the procedure to follow, when student transfer from one study program to another?","A duly filled application should be submitted to Student Services, upon approval Students may have to complete additional modules as per the requirements of the newly transferred program/specialization by paying the applicable fee, The fee difference between the current program and the transferred program has to be paid by the student upon approval of the transfer. ",Educational Department,Lectures and Course works Management
278,Male,21-25,Question,How university select students for the Specializations?,"Student will be selected for Specializations based on an eligibility criterion. Selection for specializations, if only number of seats are available will be on merit basis. ",Educational Department,Lectures and Course works Management
279,Male,21-25,Question,Is it necessary to have 100% of attendance to participate examinations?,All students should maintain a minimum of 80% attendance at classes.,Educational Department,Lectures and Course works Management
280,Male,21-25,Question,"What will happen to the students those who fail to maintain such 
attendance ?",Those who fail to maintain such attendance will not be allowed to sit for the End of Semester/Final Examination.,Educational Department,Lectures and Course works Management
281,Female,21-25,Question,How about the punctuality that Institute expects from students?,"Students should be in the Lecture halls, Tutorial classes, examination halls well in time.",Educational Department,Lectures and Course works Management
282,Female,25-30,Question,Can students should be absent themselves from a registered study programme?,Students should not absent themselves from a registered study programme without the prior written approval from the Faculty.,Educational Department,Lectures and Course works Management
283,Female,21-25,Question,"What should have to do, if a student need leave of absence from the study programme?",Students who need leave of absence from the study programme should submit the reason in writing with supporting documents to the Head of the Department for consideration and approval by the Faculty. Leave should only be availed of with such approval.,Educational Department,Lectures and Course works Management
284,Female,21-25,Question,Should students have permission to bring outsiders into the Campus premises?,"Students are not permitted to bring outsiders into the Campus premises. In case of necessity, permission should be duly obtained from the office of the Director Administration.",Educational Department,Lectures and Course works Management
285,Female,21-25,Question,How to get permission to bring outsiders into the Campus premises?,"Students are not permitted to bring outsiders into the Campus premises. In case of necessity, permission should be duly obtained from the office of the Director Administration.",Educational Department,Lectures and Course works Management
286,Female,21-25,Question,From whom should we have to get the permission to bring outsiders into the Campus premises?,"In case of necessity, permission should be duly obtained from the office of the Director Administration to bring outsiders into the Campus premises.",Educational Department,Lectures and Course works Management
287,Female,21-25,Question,Should students have permission to bring parents into the Campus premises?,Parents would be allowed to enter the premises between 8.30 a.m. and 5.00 p. m. during week days after obtaining necessary permission.,Educational Department,Lectures and Course works Management
288,Female,21-25,Question,What is time that would be allowed to bring parents into the Campus premises?,Parents would be allowed to enter the premises between 8.30 a.m. and 5.00 p. m. during week days after obtaining necessary permission.,Educational Department,Lectures and Course works Management
289,Female,21-25,Question,How can I get a letter to prove that I am an undergraduate to gather data for my research from relevant companies?,You can get letters by contact student affairs office. You can get more instructions for that by your Research supervisor.,Educational Department,Research Management
290,Female,21-25,Question,Can we have a lecturer outside sliit as the supervisor for our research project ,The university provides the list of names of the lecturers that select as a Supervisor for the Research project.,Educational Department,Research Management
291,Male,21-25,Question,How can I find the information about past research projects..?,You can refer past research projects by refering the Research and Publication section of the course web. The more details will be published in the Research Project module in the course web.,Educational Department,Research Management
292,Female,16-20,Question,"Why the pannels are not understand that they are giving marks only for thr presentation skills , not for the hardworkers or talented persons who has done works well?",Research panels are giving marks by considering many factors. The presentation skills are one of the factors. You can know more about the factors by refering the marking schema.,Educational Department,Research Management
293,Female,21-25,Question,How can i contact my assistant supervisor..?,You can contact supervisors by dropping an email.,Educational Department,Research Management
294,Male,21-25,Question,"Sometimes it's hard to find a supervisor , any suggestion for make that process easy ?","Before select the supervisor, students can schedule a meeting with their prefered senior lecturers and discuss with them and select the supervisor.",Educational Department,Research Management
295,Male,21-25,Question,How to get the help of lecturers to select a research topic?,You can get the help of lecturers to select a research topic. Lecturers are commited to help for students at any time.,Educational Department,Research Management
296,Male,21-25,Question,"Are the pannel postpone the timelines if there are any fair reason?
","There's any fair reason, the pannel postpone the timelines of projects.
",Educational Department,Research Management
297,Male,21-25,Request,Can you give more additional researches in the middle of the research? ( Having one final research is not enough to advance in the final stage),Thank you for your idea. We will direct it to the relevant section of the department.,Educational Department,Research Management
298,Female,21-25,Question,"Are the supervisors for the research allocated for the students by the university or can the students select a preferred supervisor?
",Students can select a prefered Lecturer as a supervisor by refering the Lecturer names list providing by the university for the research project.,Educational Department,Research Management
299,Male,21-25,Question,Can u change the lecture times..?,"If there's any valid reason that affect to the many students, the lecture time can be changed.",Educational Department,Research Management
300,Female,21-25,Question,How can I get to know the deadlines for the research submissions ?,All the deadlines are published in course web reaserch project module page.,Educational Department,Research Management
301,Female,21-25,Question,Is the senior lecture be friendly when a student ask something about the research?,All the Lecturers are commited to help for students at any time in friendly manner.,Educational Department,Research Management
302,Male,21-25,Question,"How can i arrange a meeting with our supervisor?

",Students can arrange a meeting with supervisor by dropping a mail to supervisor and asking a prefered time slot for the meeting.,Educational Department,Research Management
303,Female,21-25,Question,Is Research pannel same to the all the presentations..?,Research pannel is same to the all the presentations. It can not be changeable.,Educational Department,Research Management
